NOME,INTERNO ASSINAR,EXTERNO ASSINAR
APOSTILAMENTO,S,S
ARQUIVO PROECM,N,N
ASSINATURA TESTEMUNHA,S,S
ATA APRESENTAÇÃO RELATÓRIO DE GESTÃO DO ANO ANTERIOR EXIGÍVEL EMITIDA PELO CMS OU DOCUMENTO AFIM,N,N
ATESTADO CADASTRO / ASSISTÊNCIA SOCIAL/SEDESE DENTRO DO PRAZO DE VALIDADE,N,N
ATESTADO CADASTRO ENTIDADE ESPORTIVA / AMADOR / SEEJ DENTRO DO PRAZO DE VALIDADE,N,N
ATESTADO DE FUNCIONAMENTO,N,N
ATESTADO QUE COMPROVE O FUNCIONAMENTO DA ENTIDADE SEM FINS LUCRATIVOS HÁ MAIS DE UM ANO,N,N
ATESTE - APROVAÇÃO DE DOCUMENTOS PELO REPRESENTANTE LEGAL ,N,S
ATESTE - AUTORIA DOCUMENTAÇÃO TÉCNICA REFORMA/OBRA,N,S
ATESTE PARECER JURÍDICO,S,N
ATO DE CRIAÇÃO DO CONSELHO MUNICIPAL DE SAÚDE,N,N
ATO ESPECIFICO DO DIRIGENTE MAXIMO,S,S
AUTORIZAÇÃO AMBIENTAL DE FUNCIONAMENTO (AAF),N,S
AUTORIZAÇÃO EXPRESSA DO TITULAR PARA REALIZAÇÃO DE REFORMA OU OBRA,N,S
AUTORIZAÇÃO FORMAL DO PROPRIETÁRIO DO TERRENO,N,S
AUTORRETRATO COM DOCUMENTO DE IDENTIFICAÇÃO,N,S
BOLETIM DE MEDIÇÃO,S,S
CADIN-MG,N,N
CAFIMP,N,N
CALCULO CONTRAPARTIDA MÍNIMA,N,N
CANCELAMENTO CONVÊNIO,S,S
CEPIM,N,N
CERTIDÃO DE REGULARIDADE PERANTE O FGTS,N,N
CERTIDÃO DO INSS - ATUALIZADA / PROVA DE INEXISTÊNCIA DÉBITO INSS / 03 MESES ANTERIORES,N,N
CERTIDÃO TCEMG CUMPRIMENTO LC FEDERAL Nº 101/00,N,N
CERTIDÃO TCEMG/ LIMITES /EDUCAÇÃO - SAÚDE,N,N
CERTIFICADO DE QUALIFICAÇÃO COMO OSCIP QUANDO FOR O CASO,N,N
CHECKLIST ANEXADO,S,S
CHEQUE,N,N
COMPROVAÇÃO CAPACIDADE TÉCNICA E PROFISSIONAL,N,S
COMPROVAÇÃO DA SITUAÇÃO POSSESSÓRIA DO IMÓVEL DA INSTALAÇÃO,N,S
COMPROVAÇÃO PODER DE REPRESENTAÇÃO DO SIGNATÁRIO (DIPLOMA),N,N
COMPROVANTE DE ABERTURA DE CONTA CORRENTE,N,N
COMPROVANTE DE DESPESA,N,N
COMPROVANTE DE EXECUÇÃO DA CONTRAPARTIDA NÃO FINANCEIRA,N,S
COMPROVANTE DE EXPERIÊNCIA PRÉVIA - CONVÊNIO/PARCERIA ANTERIOR,N,N
COMPROVANTE DE EXPERIÊNCIA PRÉVIA - OUTROS DOCUMENTOS,N,N
COMPROVANTE DE TRANSFERÊNCIA DA CONTRAPARTIDA FINANCEIRA,N,S
CONSIDERAÇÕES ADICIONAIS DA COORDENAÇÃO DO SIGCON-SAÍDA,S,N
CONTRATO DO CONSÓRCIO PÚBLICO,N,N
CONTRATO E RESPECTIVOS ADITIVOS,N,S
CONTRATO SOCIAL,N,N
CONTRATO CONVÊNIO DE SAÍDA INSTRUMENTOS SIMILARES FIRMADOS COM ÓRGÃOS E ENTIDADES DA ADMINISTRAÇÃO PÚBLICA DE QUAISQUER ENTES FEDERADOS,N,N
CÓPIA ATA ELEIÇÃO/CONSELHOS/DIRETORIA NOME DOS MEMBROS VIGÊNCIA E ASSINATURA,N,N
CÓPIA AUTENTICADA ADMINISTRATIVAMENTE,S,N
CÓPIA AUTENTICADA CARTÓRIO,N,N
CÓPIA AUTENTICADA DA ATA DE APROVAÇÃO DA CELEBRAÇÃO DO CONVÊNIO DE SAÍDA ASSINADA PELA MAIORIA ABSOLUTA DOS MEMBROS DOS ÓRGÃOS DIRIGENTES,N,N
CÓPIA AUTENTICADA DO ATO DE DESIGNIÇÃO DO DIRIGENTE DO ÓRGÃO OU ENTIDADE COM A DATA DE PUBLICAÇÃO,N,N
CÓPIA CARTÃO DE INSCRIÇÃO NO CNPJ ATUAL/ REVALIDADO,N,N
CÓPIA CI E CPF DO DIRIGENTE MÁXIMO OU REPRESENTANTE LEGAL,N,N
CÓPIA CI E CPF DO SECRETÁRIO MUNICIPAL DE SAÚDE,N,N
CÓPIA DA ATA DE FUNDAÇÃO (REGISTRADA EM CARTÓRIO),N,N
CÓPIA DA ATA REUNIÃO DE APROVAÇÃO DO ESTATUTO (REGISTRADA EM CARTÓRIO),N,N
CÓPIA DA CARTEIRA DE IDENTIDADE DO PREFEITO ATUAL,N,N
CÓPIA DA LEI DE UTILIDADE PÚBLICA ESTADUAL FEDERAL OU MUNICIPAL,N,N
