NOME	INTERNO ASSINAR	EXTERNO ASSINAR	
APOSTILAMENTO	S	S	
ATESTE - APROVAÇÃO DE DOCUMENTOS PELO REPRESENTANTE LEGAL 	N	S	
ATESTE - AUTORIA DOCUMENTAÇÃO TÉCNICA REFORMA/OBRA	N	S	
ATESTE PARECER JURÍDICO	S	N	
AUTORIZAÇÃO AMBIENTAL DE FUNCIONAMENTO (AAF)	N	S	
AUTORIZAÇÃO FORMAL DO PROPRIETÁRIO DO TERRENO	N	S	
BOLETIM DE MEDIÇÃO	S	S	
CADIN-MG	N	N	
CAFIMP	N	N	
CALCULO CONTRAPARTIDA MÍNIMA	N	N	
CEPIM	N	N	
CHECKLIST ANEXADO	S	S	
COMPROVAÇÃO CAPACIDADE TÉCNICA E PROFISSIONAL	N	S	
COMPROVAÇÃO DA SITUAÇÃO POSSESSÓRIA DO IMÓVEL DA INSTALAÇÃO	N	S	
COMPROVANTE DE ABERTURA DE CONTA CORRENTE	N	N	
COMPROVANTE DE EXECUÇÃO DA CONTRAPARTIDA NÃO FINANCEIRA	N	S	
COMPROVANTE DE EXPERIÊNCIA PRÉVIA - CONVÊNIO/PARCERIA ANTERIOR	N	N	
COMPROVANTE DE EXPERIÊNCIA PRÉVIA - OUTROS DOCUMENTOS	N	N	
COMPROVANTE DE TRANSFERÊNCIA DA CONTRAPARTIDA FINANCEIRA	N	S	
CONTRATO DO CONSÓRCIO PÚBLICO	N	N	
CONTRATO E RESPECTIVOS ADITIVOS	N	S	
CONTRATO SOCIAL	N	N	
CÓPIA DA PUBLICAÇÃO DO CONTRATO E ADITIVOS	N	N	
CRONOGRAMA FÍSICO-FINANCEIRO	N	S	
CURRÍCULOS EQUIPE EXECUÇÃO	N	S	
DECLARAÇÃO ÁREA PRIVADA OCUPADA SOB PENA DO ART. 299 DO CÓDIGO PENAL	N	S	
DECLARAÇÃO ATENDIMENTO EXIGÊNCIAS DE ACESSIBILIDADE	N	S	
DECLARAÇÃO CONTRAPARTIDA FINANCEIRA PARA ALTERAÇÃO	N	S	
DECLARAÇÃO COTRAPARTIDA NÃO FINANCEIRA	N	S	
DECLARAÇÃO DA EMPRESA CONTRATADA SOBRE A ALTERAÇÃO	N	S	
DECLARAÇÃO DE AUTENTICIDADE	N	S	
DECLARAÇÃO DE AUTENTICIDADE DO DOCUMENTO ANEXADO (ASSESSOR PARLAMENTAR)	S	S	
DECLARAÇÃO DE AUTENTICIDADE DOCUMENTOS ALTERAÇÃO	N	S	
DECLARAÇÃO DE DISPONABILIDADE ORÇAMENTÁRIA	S	N	
DECLARAÇÃO DE DOMÍNIO PÚBLICO	N	S	
DECLARAÇÃO DE DOMÍNIO PÚBLICO DO IMÓVEL (EMITIDO PELA PREFEITURA)	N	S	
DECLARAÇÃO DE EXPERIÊNCIA NAS ATIVIDADES RELACIONADAS AO OBJETO	N	S	
DECLARAÇÃO DE INSTALAÇÕES EXISTENTES OU CONTRATAÇÃO PARA ADEQUAÇÃO	N	S	
DECLARAÇÃO DE NÃO ALTERAÇÃO DO NÚCLEO DA FINALIDADE	S	S	
DECLARAÇÃO DE NÃO CONTRATAÇÃO DE INADIMPLENTE	N	S	
DECLARAÇÃO DE NÃO CONTRATAÇÃO DE INADIMPLENTE PARA ALTERAÇÃO	N	S	
DECLARAÇÃO DE NÃO CONTRATAÇÃO DE SERVIDOR PÚBLICO OU DE PESSOAS CONDENADAS POR CRIME ELEITORAL OU CONTRA ADM PÚBLICA	N	S	
DECLARAÇÃO DE OCUPAÇÃO DA ÁREA DA INSTALAÇÃO	N	S	
DECLARAÇÃO DE RECURSOS REFERENTES À CONTRAPARTIDA FINANCEIRA	N	S	
DECLARAÇÃO DE SANEAMENTO DE RESSALVAS	S	S	
DECLARAÇÃO DIRIGENTES OSC ART. 39, III LEI 13.019/2014	N	S	
DECLARAÇÃO MOVIMENTAÇÃO DE RECURSOS CONTA ÚNICA DO TESOURO	N	S	
DECLARAÇÃO VEDAÇÕES ART. 39 LEI 13.019/2014	N	S	
DEMAIS DOCUMENTOS DE CELEBRAÇÃO	S	S	
DEMONSTRATIVO DETALHADO ECONOMIA ALCANÇADA	S	S	
DESPACHO	S	S	
DETALHAMENTO DO PROJETO DO EVENTO	N	S	
DETALHAMENTO DO PROJETO DO SERVIÇO	N	S	
DOCUMENTAÇÃO COMPLEMENTAR	S	S	
DOCUMENTAÇÃO COMPROBATÓRIA DA JUSTIFICATIVA PARA ALTERAÇÃO	S	S	
DOCUMENTO DE COMPROVAÇÃO DA SITUAÇÃO POSSESSÓRIA DO IMÓVEL	N	S	
DOCUMENTO REGULARIDADE CAGEC	N	N	
DOCUMENTO SOBRE A ESTRUTURA FÍSICA,DISPONIBILIZAÇÃO DE EQUIPAMENTOS E MATERIAIS	N	S	
EMPENHO 	S	N	
ESTATUTO	N	N	
ESTUDO DE IMPACTO AMBIENTAL E RELATÓRIO DE IMPACTO AMBIENTAL (EIA/RIMA)	N	S	
EXTRATO CONTA APLICAÇÃO/POUPANÇA	N	N	
EXTRATO CONTA CORRENTE	N	N	
EXTRATO DA JUSTIFICATIVA DE DISPENSA DE CHAMAMENTO PÚBLICO	N	N	
EXTRATO DA JUSTIFICATIVA DE INEXIGIBILIDADE DE CHAMAMENTO PÚBLICO	N	N	
INSTRUMENTO TRAMITADO FORA DO SIGCON	N	N	
JUSTIFICATIVA DE DISPENSA DE CHAMAMENTO PÚBLICO	S	N	
JUSTIFICATIVA DE INEXIGIBILIDADE DE CHAMAMENTO PÚBLICO	S	N	
JUSTIFICATIVA TÉCNICA PARA ALTERAÇÃO DA REFORMA OU OBRA	S	S	
LAYOUT DOS BENS	N	S	
LEGISLAÇÃO DE COMPETÊNCIAS DA ENTIDADE	N	N	
LEI DE CRIAÇÃO DA ENTIDADE	N	N	
LICENÇAS PRÉVIA (LP), DE INSTALAÇÃO (LI) E DE OPERAÇÃO (LO)	N	S	
LIQUIDAÇÃO	S	N	
MANIFESTAÇÃO DA ÁREA TÉCNICA DE ENGENHARIA	S	N	
MANIFESTAÇÃO DA ÁREA TÉCNICA DE PRESTAÇÃO DE CONTAS	S	N	
MANIFESTAÇÃO DA ÁREA TÉCNICA FINALÍSTICA	S	N	
MEMORANDO	S	S	
MEMÓRIA DE CÁLCULO - UTILIZAÇÃO BENS E SERVIÇOS CONTRAPARTIDA NÃO FINANCEIRA	N	S	
MEMÓRIA DE CÁLCULO DA CONTRAPARTIDA NÃO-FINANCEIRA	N	S	
MEMÓRIA DE CÁLCULO DOS QUANTITATIVOS FÍSICOS DA PLANILHA ORÇAMENTÁRIA DE CUSTOS	N	S	
MEMORIAL DESCRITIVO DE PROJETO BÁSICO OU EXECUTIVO	N	S	
MINUTA DE ALTERAÇÃO	S	S	
MINUTA DO CONVÊNIO	S	S	
MINUTA DO TERMO DE COLABORAÇÃO	S	N	
MINUTA DO TERMO DE FOMENTO	S	N	
NOTÍCIA VINCULADA SOBRE AS ATIVIDADES DESENVOLVIDAS	N	N	
NOVO RELATÓRIO FOTOGRÁFICO	S	S	
OFÍCIO	S	S	
OFÍCIO COM JUSTIFICATIVA PARA ALTERAÇÃO	S	S	
OFÍCIO PARA CÂMARA MUNICIPAL	S	N	
ORÇAMENTO DE ITEM A SER ADQUIRIDO 	N	S	
ORÇAMENTO ITEM EVENTO	N	S	
ORÇAMENTO ITEM SERVIÇO	N	S	
ORDEM DE PAGAMENTO	S	N	
PLANILHA DE DETALHAMENTO DE DESPESAS DE PESSOAL	N	S	
PLANILHA DETALHADA DE ITENS E CUSTOS DO EVENTO	N	S	
PLANILHA DETALHADA DE ITENS E CUSTOS DO SERVIÇO	N	S	
PLANILHA DETALHADA DE ITENS E CUSTOS DOS BENS A SEREM ADQUIRIDOS	N	S	
PLANILHA DETALHADA DE NOVOS ITENS E CUSTOS DO EVENTO	N	S	
PLANILHA DETALHADA DE NOVOS ITENS E CUSTOS DO SERVIÇO	N	S	
PLANILHA DETALHADA DE NOVOS ITENS E CUSTOS DOS BENS A SEREM ADQUIRIDOS	N	S	
PLANILHA ORÇAMENTÁRIA DE CUSTOS	N	S	
PLANO DE TRABALHO	S	S	
PLANTA DE LOCALIZAÇÃO/CROQUI	N	S	
PRÊMIO LOCAL OU INTERNACIONAL RELACIONADO A ATIVIDADE DESENVOLVIDA	N	N	
PROCESSO DO SEI	N	N	
PROJETO APROVADO PELO IPHAN,IEPHA OU INSTITUTO MUNICIPAL	N	S	
PROJETO BÁSICO OU EXECUTIVO	N	S	
PROPOSTA DE ALTERAÇÃO	S	S	
PROPOSTA DE PLANO DE TRABALHO	S	S	
PRORROGAÇÃO DE OFÍCIO	S	N	
PROTOCOLO DE INTENÇÕES DO CONSÓRCIO	S	S	
PUBLICAÇÃO DA ALTERAÇÃO	N	N	
PUBLICAÇÃO DO INSTRUMENTO JURÍDICO	N	N	
PUBLICAÇÃO, PESQUISA OU OUTRA FORMA DE PRODUÇÃO DE CONHECIMENTO	N	N	
QUADRO DE DETALHAMENTO DA DESPESA (QDD)	N	S	
REGIMENTO INTERNO	N	N	
REGISTRO DO IMÓVEL, CERTIDÃO DE INTEIRO TEOR OU CERTIDÃO DE ÔNUS REAIS DO IMÓVEL	N	S	
RELAÇÃO DAS OSCs EXECUTANTES	S	N	
RELAÇÃO DE PAGAMENTOS 	N	S	
RELATÓRIO DE ATIVIDADES DESENVOLVIDAS	S	S	
RELATÓRIO DE FISCALIZAÇÃO DE CONVÊNIO	S	N	
RELATÓRIO DE MONITORAMENTO DE CONVÊNIO	S	S	
RELATÓRIO DE PESQUISA DE SATISFAÇÃO 	S	N	
RELATÓRIO DE VISITA TÉCNICA IN LOCO	S	S	
RELATÓRIO FOTOGRÁFICO COLORIDO	S	S	
RELATÓRIO TÉCNICO DE MONITORAMENTO E AVALIAÇÃO	S	N	
RESOLUÇÃO PARA DESIGNAÇÃO DE COMISSÃO DE MONITORAMENTO E AVALIAÇÃO	S	N	
RESPONSABILIDADE TÉCNICA PROJETOS, LEVANTAMENTOS E CUSTOS - ART/CREA ou RRT/CAU	N	S	
RESPONSABILIDADE TÉCNICA RELATIVA À EXECUÇÃO DA REFORMA OU OBRA - ART/CREA ou RRT/CAU	N	S	
RESPONSABILIDADE TÉCNICA RELATIVA À FISCALIZAÇÃO - ART/CREA ou RRT/CAU	N	S	
TERMO ADITIVO	S	S	
TERMO DE COLABORAÇÃO	S	S	
TERMO DE COMPROMISSO DE ATENDIMENTO LEGISLAÇÃO AMBIENTAL	N	S	
TERMO DE DESIGNAÇÃO DO GESTOR DE PARCERIA	S	N	
TERMO DE FOMENTO	S	S	
TERMO DE HOMOLOGAÇÃO	S	N	
TERMO DO CONVÊNIO	S	S	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
